library,version,path_rel,minified,sha1
nb.js,,WebGestor/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/nb.js,no,1a2292adaf133efc5059d8501a8d94fbf77bd03c
nl.js,,WebGestor/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/nl.js,no,0b4bb9842ecfc76a3f0a7acf39cd33675dbfe6e1
no.js,,WebGestor/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/no.js,no,e4fafab256a4bd01312ca55446a0a13d87be01b1
pl.js,,WebGestor/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/pl.js,no,66fc494255ac152be802ea5ff73b46afd7ab9cb0
pt-br.js,,WebGestor/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/pt-br.js,no,b62d594121b7dc8e5811c25862d20d3bb6f735a7
pt.js,,WebGestor/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/pt.js,no,32adabf19a622139a43f69bed4a9f6a9e159a3a2
ro.js,,WebGestor/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/ro.js,no,6eda2f12254c7b28331c996eaedb963e69d8383e
ru.js,,WebGestor/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/ru.js,no,ae8d7f079521b6f0437149d6d2d3b86834b9ef53
si.js,,WebGestor/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/si.js,no,3bd6141c10a2a41a64619a9bae481f11fc871f4e
sk.js,,WebGestor/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/sk.js,no,55fa414a32d30cd4358c26bdbf2b5f1696bc2d8f
sl.js,,WebGestor/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/sl.js,no,02f76f0cf431808993450e4267fcce5c663dcae5
sq.js,,WebGestor/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/sq.js,no,17ba1fc6d2da9af97cdac89d7505ce5a63539ba9
sr-latn.js,,WebGestor/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/sr-latn.js,no,ed54b51b6e19a52a9d790eae03c72152b9eac5d4
sr.js,,WebGestor/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/sr.js,no,8657c73df28e02a3bea508a43484f995424a9dbd
sv.js,,WebGestor/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/sv.js,no,44980bae12b0e8a0a5d301859271f631f8ff0141
th.js,,WebGestor/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/th.js,no,cde81534f5a73e419c0cd5ac73a1e3fab5378050
tr.js,,WebGestor/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/tr.js,no,0a82cdf828960a29bd129f201f2c36407c50e3f6
ug.js,,WebGestor/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/ug.js,no,c26f78a03269ef4aa2aac5c66a540c46ad649f97
uk.js,,WebGestor/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/uk.js,no,e44ad0ad56a7b55a8b4165a4000aa62dd4dd1c1e
