path_rel,language,loc,avg_line_length,num_functions,decision_points,comment_lines,comment_ratio,complexity_score
WebGestor/Contabilidad/PagPrincipal_Cont.master.vb,vb,20,40.85,2,5,0,0.0,7
WebGestor/Contact.aspx,aspx,18,37.83,0,1,0,0.0,2
WebGestor/Contact.aspx.designer.vb,vb,15,29.0,0,0,7,0.467,1
WebGestor/Contact.aspx.vb,vb,7,21.0,2,0,0,0.0,2
WebGestor/Contador.ascx,ascx,15,76.13,0,1,0,0.0,2
WebGestor/Contador.ascx.vb,vb,15,31.0,2,0,0,0.0,2
WebGestor/Content/bootstrap-theme.css,css,587,43.52,0,0,0,0.0,1
WebGestor/Content/bootstrap-theme.min.css,css,6,3900.67,0,0,0,0.0,1
WebGestor/Content/bootstrap.css,css,6757,20.61,0,0,0,0.0,1
WebGestor/Content/bootstrap.min.css,css,6,20199.17,0,0,0,0.0,1
WebGestor/Content/Site.css,css,29,19.38,0,0,0,0.0,1
WebGestor/ControlMenu.ascx,ascx,27,45.67,0,1,0,0.0,2
WebGestor/ControlMenu.ascx.vb,vb,122,55.56,10,44,31,0.254,54
WebGestor/ControlPersonal/PagPrincipal_CPersonal.master.vb,vb,20,41.1,2,5,0,0.0,7
WebGestor/ControlPersonal/Permisos.aspx,aspx,134,64.7,0,40,0,0.0,41
WebGestor/ControlPersonal/Permisos.aspx.vb,vb,130,45.33,14,44,7,0.054,58
WebGestor/ControlPersonal/Person_Control_Asistencia.aspx,aspx,300,54.2,0,45,0,0.0,46
WebGestor/ControlPersonal/Person_Control_Asistencia.aspx.vb,vb,485,51.99,23,180,37,0.076,203
WebGestor/ControlPersonal/Person_Control_Define_Horarios.aspx,aspx,199,63.77,0,35,0,0.0,36
WebGestor/ControlPersonal/Person_Control_Define_Horarios.aspx.vb,vb,134,61.26,16,44,0,0.0,60
WebGestor/ControlPersonal/Person_Control_EntSal.aspx,aspx,356,56.88,0,59,0,0.0,60
WebGestor/ControlPersonal/Person_Control_EntSal.aspx.vb,vb,521,51.56,33,185,17,0.033,218
WebGestor/ControlPersonal/Person_Control_EntSal_Geo.aspx,aspx,447,35.95,0,6,0,0.0,7
WebGestor/ControlPersonal/Person_Control_EntSal_Geo.aspx.vb,vb,5,19.2,0,0,0,0.0,1
