path_rel,endpoint_type,has_codebehind,codebehind_path,loc,size_bytes,sha1
WebGestor/GTP/GTP_Relacion_TiemposxEstados.aspx,page,yes,WebGestor/GTP/GTP_Relacion_TiemposxEstados.aspx.vb,432,39357,121852aed9845074de7e60d7fb5c60d1b0729029
WebGestor/HomeMenu.aspx,page,yes,WebGestor/HomeMenu.aspx.vb,9,344,3fd9da4ec69f8016a435450db2caaf9f55e3ab89
WebGestor/Inventario/CalcularDistancia.aspx,page,yes,WebGestor/Inventario/CalcularDistancia.aspx.vb,25,1272,523bbd83608fc6925ac1b32390c6a2adb1ebc128
WebGestor/Inventario/Capturar_Almacenar_Foto.aspx,page,yes,WebGestor/Inventario/Capturar_Almacenar_Foto.aspx.vb,111,4888,0e0c39ab5f98f2eb7e9d317c21d66ae1afac61bb
WebGestor/Inventario/Catalogo_Articulo.aspx,page,yes,WebGestor/Inventario/Catalogo_Articulo.aspx.vb,569,38921,3cf27e4f9fec62e22f1a9700b77c8216c6031579
WebGestor/Inventario/Catalogo_PlacaIni_Prop.aspx,page,yes,WebGestor/Inventario/Catalogo_PlacaIni_Prop.aspx.vb,71,2503,5864c59de456700065b796783fb89bfc500a4e27
WebGestor/Inventario/Foto_.ashx,handler,no,,45,1656,51f79068c461915f01805cde5dba7566ce82cffe
WebGestor/Inventario/fotoUpload.ashx,handler,no,,32,969,57f668de7c8fa8349e98e5560e591c30d1eb2360
WebGestor/Inventario/Garantia_ConsultaEquipo.aspx,page,yes,WebGestor/Inventario/Garantia_ConsultaEquipo.aspx.vb,233,17413,81c6f443bd07941e695442141d6cc35564ce4c01
WebGestor/Inventario/GuiaHandler.ashx,handler,no,,39,1441,fbb07bb42bd069ca190204ff75fa3c9cb6ba7d8d
WebGestor/Inventario/ImagenGasto.ashx,handler,no,,39,1432,ce6beb34a5b2c1a8353434ea68bf5bd9b7997c9b
WebGestor/Inventario/ImagenHandler.ashx,handler,no,,40,1433,585f94da341c9f87686de964a30b545e479bac0b
WebGestor/Inventario/Inv_Definiciones_Tablas.aspx,page,yes,WebGestor/Inventario/Inv_Definiciones_Tablas.aspx.vb,936,70752,693dea2ea1ccd9d332abb5db0dee9b24eb779319
WebGestor/Inventario/Inventario.aspx,page,yes,WebGestor/Inventario/Inventario.aspx.vb,374,26907,34fcd7fbdfed0532774feb5360b734d8cc4511e0
WebGestor/Inventario/Inventario_.aspx,page,yes,WebGestor/Inventario/Inventario_.aspx.vb,454,37698,e809bd20e9a6e79714750e779f5dc533b669d16e
WebGestor/Inventario/Inventario_Almacen_Salida.aspx,page,yes,WebGestor/Inventario/Inventario_Almacen_Salida.aspx.vb,676,51730,5f0947ebda27457ec5be18a020f11b88f1f3d14a
WebGestor/Inventario/Inventario_Articulo_Foto.aspx,page,yes,WebGestor/Inventario/Inventario_Articulo_Foto.aspx.vb,579,41434,da0897b1271b50411ef13c17ccd4e0c886af70e7
WebGestor/Inventario/Inventario_Articulo_Imagen.aspx,page,yes,WebGestor/Inventario/Inventario_Articulo_Imagen.aspx.vb,77,5266,e811bd96c09344abe06120193dbe23cb88a431cb
WebGestor/Inventario/Inventario_BienesNuevos_NoConsiderar.aspx,page,yes,WebGestor/Inventario/Inventario_BienesNuevos_NoConsiderar.aspx.vb,349,25261,56c8287b0568660c11d118be5df5badd62690027
WebGestor/Inventario/Inventario_Carga_Atms.aspx,page,yes,WebGestor/Inventario/Inventario_Carga_Atms.aspx.vb,59,3421,2fd6199db284967033684ac5e925f5995403fcb6
WebGestor/Inventario/Inventario_Carga_DatosIniciales.aspx,page,yes,WebGestor/Inventario/Inventario_Carga_DatosIniciales.aspx.vb,37,1680,ff35a252ab404b05183626a191dbe7d47d05829a
WebGestor/Inventario/Inventario_Carga_Individual.aspx,page,yes,WebGestor/Inventario/Inventario_Carga_Individual.aspx.vb,534,41401,c68e7b4643700c2dd5819cee575b3d52910b1348
WebGestor/Inventario/Inventario_Carga_Informacion.aspx,page,yes,WebGestor/Inventario/Inventario_Carga_Informacion.aspx.vb,124,7921,be25fe409b4decb01701a92e0cfd6ceb195ea9ad
WebGestor/Inventario/Inventario_Carga_MovGps.aspx,page,yes,WebGestor/Inventario/Inventario_Carga_MovGps.aspx.vb,239,16028,bfa1cd20ff2764b70b5b093d123cff2fde520bcb
